codigo,fila_saldos,sociedad,sociedad_label,banco,banco_label,moneda,tipo_cuenta,es_transito,instrumento,rol,concepto_raw,en_resumen,notas
BIY|MACRO|ARS|CC,4,BIY,BIYEMAS,MACRO,BANCO MACRO,ARS,CC,0,,saldo,1) PESOS (CC),1,
BIY|MACRO|ARS|TRANSITO,5,BIY,BIYEMAS,MACRO,BANCO MACRO,ARS,,1,,transito,Depósitos en Tránsito,1,
BIY|MACRO|USD|CC,6,BIY,BIYEMAS,MACRO,BANCO MACRO,USD,CC,0,,saldo,2) DOLARES (CC),1,
BIY|MACRO|USD|TRANSITO,7,BIY,BIYEMAS,MACRO,BANCO MACRO,USD,,1,,transito,Depósitos en Tránsito,0,
BIY|ITAU|ARS|CC,10,BIY,BIYEMAS,ITAU,BANCO ITAU,ARS,CC,0,,saldo,1) PESOS (CC),1,
BIY|ITAU|ARS|TRANSITO,11,BIY,BIYEMAS,ITAU,BANCO ITAU,ARS,,1,,transito,Depósitos en Tránsito,1,
BIY|ITAU|ARS|AVELLANEDA,12,BIY,BIYEMAS,ITAU,BANCO ITAU,ARS,AVELLANEDA,0,,saldo,1) PESOS (AVELLANEDA),1,
BIY|ITAU|USD|CC,13,BIY,BIYEMAS,ITAU,BANCO ITAU,USD,CC,0,,saldo,2) DOLARES (CC),1,
BIY|ITAU|USD|TRANSITO,14,BIY,BIYEMAS,ITAU,BANCO ITAU,USD,,1,,transito,Depósitos en Tránsito,0,
BIY|FRANCES|ARS|CC,17,BIY,BIYEMAS,FRANCES,BANCO FRANCES,ARS,CC,0,,saldo,1) PESOS,1,
BIY|FRANCES|USD|CC,18,BIY,BIYEMAS,FRANCES,BANCO FRANCES,USD,CC,0,,saldo,2) DOLARES,1,
BIY|FRANCES|EUR|CC,19,BIY,BIYEMAS,FRANCES,BANCO FRANCES,EUR,CC,0,,saldo,3) EUROS,0,
BIY|BAPRO|ARS|CC,22,BIY,BIYEMAS,BAPRO,BANCO PROVINCIA,ARS,CC,0,,saldo,1) PESOS,1,
BIY|BAPRO|ARS|TRANSITO,23,BIY,BIYEMAS,BAPRO,BANCO PROVINCIA,ARS,,1,,transito,Depósitos en Tránsito,1,
BIY|BAPRO|USD|CC,24,BIY,BIYEMAS,BAPRO,BANCO PROVINCIA,USD,CC,0,,saldo,2) DOLARES (CC),1,
BIY|MACO|ARS|CC,27,BIY,BIYEMAS,MACO,MACO,ARS,CC,0,,saldo,1) PESOS,1,
BIY|MACO|USD|CC,28,BIY,BIYEMAS,MACO,MACO,USD,CC,0,,saldo,2) DOLARES,1,
BIY|MACO|EUR|CC,29,BIY,BIYEMAS,MACO,MACO,EUR,CC,0,,saldo,3) EUROS,0,
BIY|BNA|ARS|CC,32,BIY,BIYEMAS,BNA,BNA,ARS,CC,0,,saldo,1) PESOS (CC),1,
BIY|BNA|ARS|TRANSITO,33,BIY,BIYEMAS,BNA,BNA,ARS,,1,,transito,Depósitos en Tránsito,1,
BIY|BNA|USD|CC,34,BIY,BIYEMAS,BNA,BNA,USD,CC,0,,saldo,2) DOLARES (CC),1,
BIY|BNA|USD|TRANSITO,35,BIY,BIYEMAS,BNA,BNA,USD,,1,,transito,Depósitos en Tránsito,0,
BIY|BIBANK|ARS|CC,38,BIY,BIYEMAS,BIBANK,Bi Bank,ARS,CC,0,,saldo,1) PESOS (CC),1,
BIY|BIBANK|ARS|TRANSITO,39,BIY,BIYEMAS,BIBANK,Bi Bank,ARS,,1,,transito,Depósitos en Tránsito,1,
BIY|BIBANK|USD|CC,40,BIY,BIYEMAS,BIBANK,Bi Bank,USD,CC,0,,saldo,2) DOLARES (CC),1,
BIY|BIBANK|USD|TRANSITO,41,BIY,BIYEMAS,BIBANK,Bi Bank,USD,,1,,transito,Depósitos en Tránsito,0,
BIY|BIND|ARS|CC,44,BIY,BIYEMAS,BIND,Banco Industrial,ARS,CC,0,,saldo,1) PESOS (CC),1,
BIY|BIND|ARS|TRANSITO,45,BIY,BIYEMAS,BIND,Banco Industrial,ARS,,1,,transito,Depósitos en Tránsito,1,
BIY|BIND|USD|CC,46,BIY,BIYEMAS,BIND,Banco Industrial,USD,CC,0,,saldo,2) DOLARES (CC),1,
BIY|BIND|USD|TRANSITO,47,BIY,BIYEMAS,BIND,Banco Industrial,USD,,1,,transito,Depósitos en Tránsito,0,
BIY|TESORERIA|ARS|CC,50,BIY,BIYEMAS,TESORERIA,TESORERIA,ARS,CC,0,,saldo,1) PESOS,1,
BIY|TESORERIA|USD|CC,51,BIY,BIYEMAS,TESORERIA,TESORERIA,USD,CC,0,,saldo,2) DOLARES,1,
BIY|TESORERIA|EUR|CC,52,BIY,BIYEMAS,TESORERIA,TESORERIA,EUR,CC,0,,saldo,3) EUROS,0,
BIY|INVERSIONES|ARS|FCI_GOAL_RENTA_GLOBAL,55,BIY,BIYEMAS,INVERSIONES,INVERSIONES CORTO PLAZO,ARS,,0,FCI Goal renta global,inversion,FCI Goal renta global,1,
BIY|INVERSIONES|ARS|FCI_PIONERO_RENTA_AHORRO,56,BIY,BIYEMAS,INVERSIONES,INVERSIONES CORTO PLAZO,ARS,,0,FCI Pionero Renta Ahorro,inversion,FCI Pionero Renta Ahorro,1,
BIY|INVERSIONES|ARS|FCI_RENTA_CRECIMIENTO,57,BIY,BIYEMAS,INVERSIONES,INVERSIONES CORTO PLAZO,ARS,,0,FCI renta crecimiento,inversion,FCI renta crecimiento,1,
BIY|INVERSIONES|ARS|FCI_GOAL_PESOS,58,BIY,BIYEMAS,INVERSIONES,INVERSIONES CORTO PLAZO,ARS,,0,FCI Goal Pesos,inversion,FCI Goal Pesos,1,
BIY|INVERSIONES|ARS|FCI_ACCIONES_ARGENTINAS,59,BIY,BIYEMAS,INVERSIONES,INVERSIONES CORTO PLAZO,ARS,,0,FCI acciones argentinas,inversion,FCI acciones argentinas,1,
BIY|INVERSIONES|ARS|IAM_AHORRO_PESOS,60,BIY,BIYEMAS,INVERSIONES,INVERSIONES CORTO PLAZO,ARS,,0,IAM Ahorro Pesos,inversion,IAM Ahorro Pesos,1,
BIY|INVERSIONES|ARS|PLAZO_FIJO,61,BIY,BIYEMAS,INVERSIONES,INVERSIONES CORTO PLAZO,ARS,,0,Plazo Fijo,inversion,Plazo Fijo,1,
BIY|INVERSIONES|ARS|OTROS,62,BIY,BIYEMAS,INVERSIONES,INVERSIONES CORTO PLAZO,ARS,,0,Otros,inversion,Otros,1,
KAN|MACRO|ARS|CC,67,KAN,KANDIKO,MACRO,BANCO MACRO,ARS,CC,0,,saldo,1) PESOS (CC),1,
KAN|MACRO|ARS|TRANSITO,68,KAN,KANDIKO,MACRO,BANCO MACRO,ARS,,1,,transito,Depósitos en Tránsito,1,
KAN|MACRO|ARS|CA,69,KAN,KANDIKO,MACRO,BANCO MACRO,ARS,CA,0,,saldo,1) PESOS (CA),1,
KAN|MACRO|USD|CC,70,KAN,KANDIKO,MACRO,BANCO MACRO,USD,CC,0,,saldo,2) DOLARES (CC),1,
