celda_resumen,fila_resumen,label_resumen,columna_sociedad,bloque,fila_saldos,codigo_cuenta,concepto_saldos,banco_saldos,moneda_saldos,nota
E3,3,1) Posiciones por Moneda,CTRL,CONTROL,221,TOT_BINGOS|TOTAL|ARS|CC,Pesos,,ARS,
E3,3,1) Posiciones por Moneda,CTRL,CONTROL,222,TOT_BINGOS|TOTAL|USD|TOTAL,USD,,USD,
E3,3,1) Posiciones por Moneda,CTRL,CONTROL,223,TOT_BINGOS|TOTAL|EUR|CC,Euros,,EUR,
G3,3,1) Posiciones por Moneda,UT,CONTROL,234,UT|TOTAL|ARS|CC,Pesos,,ARS,
G3,3,1) Posiciones por Moneda,UT,CONTROL,235,UT|TOTAL|USD|TOTAL,USD,,USD,
G3,3,1) Posiciones por Moneda,UT,CONTROL,236,UT|TOTAL|EUR|CC,Euros,,EUR,
B6,6,Banco Macro,BIY,PESOS,4,BIY|MACRO|ARS|CC,1) PESOS (CC),MACRO,ARS,
B6,6,Banco Macro,BIY,PESOS,5,BIY|MACRO|ARS|TRANSITO,Depósitos en Tránsito,MACRO,ARS,
C6,6,Banco Macro,KAN,PESOS,67,KAN|MACRO|ARS|CC,1) PESOS (CC),MACRO,ARS,
C6,6,Banco Macro,KAN,PESOS,68,KAN|MACRO|ARS|TRANSITO,Depósitos en Tránsito,MACRO,ARS,
C6,6,Banco Macro,KAN,PESOS,69,KAN|MACRO|ARS|CA,1) PESOS (CA),MACRO,ARS,
D6,6,Banco Macro,REB,PESOS,131,REB|MACRO|ARS|CC,1) PESOS (CC),MACRO,ARS,
D6,6,Banco Macro,REB,PESOS,132,REB|MACRO|ARS|TRANSITO,Depósitos en Tránsito,MACRO,ARS,
D6,6,Banco Macro,REB,PESOS,133,REB|MACRO|ARS|CA,1) PESOS (CA),MACRO,ARS,
G6,6,Banco Macro,UT,PESOS,206,UT|MACRO|ARS|CC,1) PESOS,MACRO,ARS,
B7,7,Banco ITAU,BIY,PESOS,10,BIY|ITAU|ARS|CC,1) PESOS (CC),ITAU,ARS,
B7,7,Banco ITAU,BIY,PESOS,11,BIY|ITAU|ARS|TRANSITO,Depósitos en Tránsito,ITAU,ARS,
B7,7,Banco ITAU,BIY,PESOS,12,BIY|ITAU|ARS|AVELLANEDA,1) PESOS (AVELLANEDA),ITAU,ARS,
C7,7,Banco ITAU,KAN,PESOS,75,KAN|ITAU|ARS|CC,1) PESOS (CC),ITAU,ARS,
D7,7,Banco ITAU,REB,PESOS,139,REB|ITAU|ARS|CC,1) PESOS (CC),ITAU,ARS,
D7,7,Banco ITAU,REB,PESOS,140,REB|ITAU|ARS|TRANSITO,Depósitos en Tránsito,ITAU,ARS,
D7,7,Banco ITAU,REB,PESOS,141,REB|ITAU|ARS|AVELLANEDA,1) PESOS (AVELLANEDA),ITAU,ARS,
B8,8,Banco Francés,BIY,PESOS,17,BIY|FRANCES|ARS|CC,1) PESOS,FRANCES,ARS,
C8,8,Banco Francés,KAN,PESOS,82,KAN|FRANCES|ARS|CC,1) PESOS,FRANCES,ARS,
