empresa_id;empresa_nombre;fecha_desde;fecha_hasta;cuenta_codigo;cuenta_nombre;z_medio;contabilizado_medio;diff_medio;venta_erp_total;contabilidad_global_total;flash_total
1;"BIYEMAS S.A.";2026-07-01;2026-07-21;111010001;"CAJA PESOS";0.00;85703540.00;-85703540.00;106949578.26;106949578.28;113761890.82
1;"BIYEMAS S.A.";2026-07-01;2026-07-21;111020005;"FONDO FIJO SALA MAQUINAS $";0.00;-21964300.00;21964300.00;106949578.26;106949578.28;113761890.82
1;"BIYEMAS S.A.";2026-07-01;2026-07-21;111050025;"CTA CTE MERCADO PAGO";32777800.00;32778200.00;-400.00;106949578.26;106949578.28;113761890.82
1;"BIYEMAS S.A.";2026-07-01;2026-07-21;113010001;"TARJETAS A COBRAR";0.00;6801060.00;-6801060.00;106949578.26;106949578.28;113761890.82
2;"KANDIKO S.A.";2026-07-01;2026-07-21;111010001;"CAJA PESOS";0.00;25259600.00;-25259600.00;32467173.56;32467173.56;33864407.73
2;"KANDIKO S.A.";2026-07-01;2026-07-21;111020005;"FONDO FIJO SALA MAQUINAS $";0.00;-6559800.00;6559800.00;32467173.56;32467173.56;33864407.73
2;"KANDIKO S.A.";2026-07-01;2026-07-21;111050025;"CTA CTE MERCADO PAGO";10606000.00;10627500.00;-21500.00;32467173.56;32467173.56;33864407.73
2;"KANDIKO S.A.";2026-07-01;2026-07-21;113010001;"TARJETAS A COBRAR";0.00;3037600.00;-3037600.00;32467173.56;32467173.56;33864407.73
3;"REBISCO S.A.";2026-07-01;2026-07-21;111010001;"CAJA PESOS";0.00;39748440.00;-39748440.00;46049266.40;46049266.40;47187405.16
3;"REBISCO S.A.";2026-07-01;2026-07-21;111020005;"FONDO FIJO SALA MAQUINAS $";0.00;-9795700.00;9795700.00;46049266.40;46049266.40;47187405.16
3;"REBISCO S.A.";2026-07-01;2026-07-21;111050025;"CTA CTE MERCADO PAGO";14427700.00;14427700.00;0.00;46049266.40;46049266.40;47187405.16
3;"REBISCO S.A.";2026-07-01;2026-07-21;113010001;"TARJETAS A COBRAR";0.00;1668800.00;-1668800.00;46049266.40;46049266.40;47187405.16
